iteration,epoch,loss,accuracy
1.000000,0.000184,1.098287,0.384766
2.000000,0.000368,1.100435,0.367188
3.000000,0.000552,1.096718,0.376953
4.000000,0.000737,1.109054,0.324219
5.000000,0.000921,1.106438,0.339844
6.000000,0.001105,1.104133,0.343750
7.000000,0.001289,1.098225,0.367188
8.000000,0.001473,1.095650,0.378906
9.000000,0.001657,1.103430,0.355469
10.000000,0.001842,1.107352,0.333984
11.000000,0.002026,1.110083,0.314453
12.000000,0.002210,1.100924,0.367188
13.000000,0.002394,1.095266,0.373047
14.000000,0.002578,1.103528,0.363281
15.000000,0.002762,1.107387,0.337891
16.000000,0.002947,1.096679,0.363281
17.000000,0.003131,1.097065,0.371094
18.000000,0.003315,1.101380,0.341797
19.000000,0.003499,1.099647,0.380859
20.000000,0.003683,1.092626,0.400391
