iteration,epoch,loss,accuracy
1.000000,0.000089,1.348904,0.428145
2.000000,0.000179,1.228661,0.737661
3.000000,0.000268,1.144489,0.789116
4.000000,0.000357,1.042981,0.805010
5.000000,0.000446,0.995382,0.831807
6.000000,0.000536,0.903228,0.819141
7.000000,0.000625,0.842720,0.836504
8.000000,0.000714,0.773430,0.841221
9.000000,0.000803,0.689695,0.844800
10.000000,0.000893,0.654873,0.858359
11.000000,0.000982,0.623651,0.856621
12.000000,0.001071,0.570007,0.865132
13.000000,0.001160,0.529028,0.870459
14.000000,0.001250,0.532993,0.877690
15.000000,0.001339,0.493306,0.880718
16.000000,0.001428,0.483847,0.894995
17.000000,0.001517,0.461816,0.896919
18.000000,0.001607,0.423033,0.903110
19.000000,0.001696,0.408938,0.907651
20.000000,0.001785,0.416167,0.908052
21.000000,0.001874,0.387954,0.915728
22.000000,0.001964,0.365480,0.918892
23.000000,0.002053,0.358342,0.923843
24.000000,0.002142,0.349061,0.924375
25.000000,0.002231,0.349246,0.927993
26.000000,0.002321,0.337614,0.928726
27.000000,0.002410,0.330551,0.929473
28.000000,0.002499,0.324599,0.931152
29.000000,0.002588,0.306354,0.938389
30.000000,0.002678,0.309390,0.939907
31.000000,0.002767,0.320337,0.942588
32.000000,0.002856,0.291699,0.949663
