iteration,epoch,loss,accuracy
1.000000,0.000045,1.452205,0.264933
2.000000,0.000089,1.373131,0.068000
3.000000,0.000134,0.971840,0.191107
4.000000,0.000178,0.308009,0.013126
5.000000,0.000223,0.484299,0.093356
6.000000,0.000268,0.794587,0.000056
7.000000,0.000312,0.358780,0.015148
8.000000,0.000357,0.379557,0.014154
9.000000,0.000402,0.332939,0.002770
10.000000,0.000446,0.303060,0.000883
11.000000,0.000491,0.329372,0.002036
12.000000,0.000535,0.303549,0.002570
13.000000,0.000580,0.316015,0.008948
14.000000,0.000625,0.281435,0.018474
15.000000,0.000669,0.261308,0.014778
16.000000,0.000714,0.268004,0.008611
17.000000,0.000759,0.309570,0.019179
18.000000,0.000803,0.287323,0.054027
19.000000,0.000848,0.246065,0.005631
20.000000,0.000892,0.282476,0.000751
21.000000,0.000937,0.263643,0.000375
22.000000,0.000982,0.264986,0.000551
23.000000,0.001026,0.252578,0.000254
24.000000,0.001071,0.281140,0.001325
25.000000,0.001116,0.228271,0.011877
26.000000,0.001160,0.254859,0.028217
27.000000,0.001205,0.263488,0.019437
28.000000,0.001249,0.243244,0.011436
29.000000,0.001294,0.250422,0.014105
30.000000,0.001339,0.221804,0.014430
31.000000,0.001383,0.227017,0.014007
32.000000,0.001428,0.216891,0.011192
33.000000,0.001473,0.235717,0.010840
34.000000,0.001517,0.229073,0.009723
35.000000,0.001562,0.245518,0.023480
36.000000,0.001606,0.212227,0.019790
37.000000,0.001651,0.235369,0.016326
38.000000,0.001696,0.238136,0.013288
39.000000,0.001740,0.234231,0.011191
40.000000,0.001785,0.233430,0.019451
41.000000,0.001830,0.238334,0.046429
42.000000,0.001874,0.205375,0.004544
43.000000,0.001919,0.219141,0.003479
44.000000,0.001963,0.217111,0.005441
45.000000,0.002008,0.230815,0.018995
46.000000,0.002053,0.212535,0.046730
47.000000,0.002097,0.215462,0.037154
48.000000,0.002142,0.216009,0.067432
49.000000,0.002187,0.214441,0.039777
50.000000,0.002231,0.240217,0.085498
51.000000,0.002276,0.212471,0.022854
52.000000,0.002320,0.211165,0.005364
53.000000,0.002365,0.225234,0.016789
54.000000,0.002410,0.214782,0.028008
55.000000,0.002454,0.197286,0.033030
56.000000,0.002499,0.232731,0.020996
57.000000,0.002544,0.229850,0.025377
58.000000,0.002588,0.224316,0.024982
59.000000,0.002633,0.200520,0.027350
60.000000,0.002677,0.205514,0.016002
61.000000,0.002722,0.243989,0.041642
62.000000,0.002767,0.207082,0.058168
63.000000,0.002811,0.185064,0.040856
64.000000,0.002856,0.213039,0.022810
65.000000,0.002901,0.200213,0.045074
66.000000,0.002945,0.195707,0.065350
67.000000,0.002990,0.212585,0.060895
68.000000,0.003034,0.208739,0.095169
69.000000,0.003079,0.215261,0.048256
70.000000,0.003124,0.219438,0.076636
71.000000,0.003168,0.209979,0.056938
72.000000,0.003213,0.231658,0.055965
73.000000,0.003258,0.200144,0.038092
74.000000,0.003302,0.212701,0.053803
75.000000,0.003347,0.209642,0.056235
76.000000,0.003391,0.212121,0.040045
77.000000,0.003436,0.215876,0.036345
78.000000,0.003481,0.205521,0.050187
79.000000,0.003525,0.217935,0.043914
80.000000,0.003570,0.196455,0.033140
81.000000,0.003615,0.224454,0.051722
82.000000,0.003659,0.189335,0.082820
83.000000,0.003704,0.205887,0.045774
84.000000,0.003748,0.181524,0.056670
85.000000,0.003793,0.194986,0.118019
86.000000,0.003838,0.197554,0.089168
87.000000,0.003882,0.200775,0.063052
88.000000,0.003927,0.168177,0.102680
89.000000,0.003972,0.179913,0.113205
90.000000,0.004016,0.189255,0.113920
91.000000,0.004061,0.176511,0.124793
92.000000,0.004105,0.185010,0.080484
93.000000,0.004150,0.182189,0.125316
94.000000,0.004195,0.167319,0.132800
95.000000,0.004239,0.177961,0.178071
96.000000,0.004284,0.156222,0.093089
97.000000,0.004329,0.159359,0.135694
98.000000,0.004373,0.187574,0.141134
99.000000,0.004418,0.154046,0.149479
100.000000,0.004462,0.171988,0.182652
101.000000,0.004507,0.154817,0.142485
102.000000,0.004552,0.179165,0.170439
103.000000,0.004596,0.149250,0.186226
104.000000,0.004641,0.149576,0.150752
105.000000,0.004686,0.146921,0.233840
106.000000,0.004730,0.153676,0.185679
107.000000,0.004775,0.149412,0.196547
108.000000,0.004819,0.149954,0.240633
109.000000,0.004864,0.170201,0.197358
110.000000,0.004909,0.159570,0.214845
111.000000,0.004953,0.140354,0.332965
112.000000,0.004998,0.152465,0.237278
113.000000,0.005043,0.137150,0.177524
114.000000,0.005087,0.126985,0.273927
115.000000,0.005132,0.126777,0.274730
116.000000,0.005176,0.149455,0.337768
117.000000,0.005221,0.139596,0.258437
118.000000,0.005266,0.138453,0.257179
119.000000,0.005310,0.120200,0.333299
120.000000,0.005355,0.131275,0.292402
121.000000,0.005400,0.116209,0.321518
122.000000,0.005444,0.145782,0.282570
123.000000,0.005489,0.118395,0.319877
124.000000,0.005533,0.124540,0.366408
125.000000,0.005578,0.111266,0.356248
126.000000,0.005623,0.128321,0.332754
127.000000,0.005667,0.108654,0.392400
128.000000,0.005712,0.108953,0.361122
129.000000,0.005757,0.117195,0.347430
130.000000,0.005801,0.111311,0.376605
131.000000,0.005846,0.104146,0.395027
132.000000,0.005890,0.104517,0.367481
133.000000,0.005935,0.108504,0.379563
134.000000,0.005980,0.106711,0.381381
135.000000,0.006024,0.108094,0.355176
136.000000,0.006069,0.107631,0.379833
137.000000,0.006114,0.099943,0.375776
138.000000,0.006158,0.092595,0.381374
139.000000,0.006203,0.109691,0.359684
140.000000,0.006247,0.098444,0.384156
141.000000,0.006292,0.097213,0.399610
142.000000,0.006337,0.093021,0.381822
143.000000,0.006381,0.095470,0.421574
144.000000,0.006426,0.086399,0.454755
145.000000,0.006471,0.090263,0.416802
146.000000,0.006515,0.082379,0.407568
147.000000,0.006560,0.083248,0.409845
148.000000,0.006604,0.088175,0.391828
149.000000,0.006649,0.085523,0.414540
150.000000,0.006694,0.093417,0.422516
151.000000,0.006738,0.088176,0.474270
152.000000,0.006783,0.081774,0.412849
153.000000,0.006828,0.085289,0.386305
154.000000,0.006872,0.088996,0.359149
155.000000,0.006917,0.078452,0.446005
156.000000,0.006961,0.079770,0.450533
157.000000,0.007006,0.085000,0.416667
158.000000,0.007051,0.086601,0.451186
159.000000,0.007095,0.081631,0.424828
160.000000,0.007140,0.069625,0.428652
161.000000,0.007185,0.076582,0.479008
162.000000,0.007229,0.086744,0.399353
163.000000,0.007274,0.083565,0.450808
164.000000,0.007318,0.081445,0.449152
165.000000,0.007363,0.071337,0.438468
166.000000,0.007408,0.075955,0.465240
167.000000,0.007452,0.081376,0.470289
168.000000,0.007497,0.077299,0.447981
169.000000,0.007542,0.077525,0.450449
170.000000,0.007586,0.076923,0.420025
171.000000,0.007631,0.075941,0.474395
172.000000,0.007675,0.077428,0.481201
173.000000,0.007720,0.080134,0.431403
174.000000,0.007765,0.072576,0.442773
