iteration,epoch,loss,accuracy
1.000000,0.000089,1.278727,0.896471
2.000000,0.000179,1.281785,0.900290
3.000000,0.000268,1.279645,0.897913
4.000000,0.000357,1.285133,0.911313
5.000000,0.000446,1.279656,0.907550
6.000000,0.000536,1.274820,0.898885
7.000000,0.000625,1.271737,0.894589
8.000000,0.000714,1.270281,0.894615
9.000000,0.000803,1.273677,0.900834
10.000000,0.000893,1.273240,0.901863
11.000000,0.000982,1.273919,0.907742
12.000000,0.001071,1.268912,0.897195
13.000000,0.001160,1.276032,0.908741
14.000000,0.001250,1.262862,0.893062
15.000000,0.001339,1.264914,0.891357
16.000000,0.001428,1.272503,0.908000
17.000000,0.001517,1.261741,0.893409
18.000000,0.001607,1.272198,0.911456
19.000000,0.001696,1.266194,0.901144
20.000000,0.001785,1.263896,0.899802
21.000000,0.001874,1.268415,0.900793
22.000000,0.001964,1.265543,0.902173
23.000000,0.002053,1.268815,0.913304
24.000000,0.002142,1.266939,0.906012
25.000000,0.002231,1.268022,0.913929
26.000000,0.002321,1.265065,0.907206
27.000000,0.002410,1.261571,0.905929
28.000000,0.002499,1.260303,0.899658
29.000000,0.002588,1.262934,0.908074
30.000000,0.002678,1.259465,0.905461
31.000000,0.002767,1.258382,0.908826
32.000000,0.002856,1.264766,0.909523
33.000000,0.002945,1.260640,0.904254
34.000000,0.003035,1.258417,0.903201
35.000000,0.003124,1.253344,0.900740
36.000000,0.003213,1.259624,0.910552
37.000000,0.003302,1.259264,0.911345
38.000000,0.003392,1.260047,0.911535
39.000000,0.003481,1.257881,0.913882
40.000000,0.003570,1.255804,0.908908
41.000000,0.003659,1.259822,0.916987
42.000000,0.003749,1.261032,0.915971
43.000000,0.003838,1.259795,0.917791
44.000000,0.003927,1.259547,0.916920
45.000000,0.004016,1.253785,0.913580
46.000000,0.004106,1.259301,0.914151
47.000000,0.004195,1.255790,0.914693
48.000000,0.004284,1.255127,0.914065
49.000000,0.004373,1.247235,0.911139
50.000000,0.004463,1.252567,0.912734
51.000000,0.004552,1.251974,0.913766
52.000000,0.004641,1.251662,0.914108
53.000000,0.004730,1.250337,0.913092
54.000000,0.004820,1.253559,0.922098
55.000000,0.004909,1.244230,0.911665
56.000000,0.004998,1.246626,0.913227
57.000000,0.005087,1.247345,0.911582
58.000000,0.005177,1.256420,0.926371
59.000000,0.005266,1.241363,0.905830
60.000000,0.005355,1.252194,0.917933
61.000000,0.005444,1.244865,0.917502
62.000000,0.005534,1.244715,0.917121
63.000000,0.005623,1.245316,0.919997
64.000000,0.005712,1.248643,0.917970
65.000000,0.005801,1.244727,0.920902
66.000000,0.005891,1.249554,0.920956
67.000000,0.005980,1.248399,0.924023
68.000000,0.006069,1.238997,0.911125
69.000000,0.006159,1.239921,0.917558
70.000000,0.006248,1.247032,0.920999
71.000000,0.006337,1.242930,0.919425
72.000000,0.006426,1.247767,0.928505
73.000000,0.006516,1.245719,0.923944
74.000000,0.006605,1.233958,0.910864
75.000000,0.006694,1.244003,0.924151
76.000000,0.006783,1.237789,0.917832
77.000000,0.006873,1.246299,0.925215
78.000000,0.006962,1.243748,0.924616
79.000000,0.007051,1.243463,0.924227
80.000000,0.007140,1.245814,0.925552
81.000000,0.007230,1.228189,0.914947
82.000000,0.007319,1.232760,0.915534
83.000000,0.007408,1.238284,0.922254
84.000000,0.007497,1.237170,0.922069
85.000000,0.007587,1.236714,0.922162
86.000000,0.007676,1.237112,0.921983
87.000000,0.007765,1.236915,0.923105
88.000000,0.007854,1.237537,0.923043
89.000000,0.007944,1.234313,0.922893
90.000000,0.008033,1.236535,0.927408
91.000000,0.008122,1.233640,0.923776
92.000000,0.008211,1.239987,0.928703
93.000000,0.008301,1.224504,0.912842
94.000000,0.008390,1.236899,0.926167
95.000000,0.008479,1.232877,0.925373
96.000000,0.008568,1.226170,0.921193
97.000000,0.008658,1.230144,0.919014
98.000000,0.008747,1.234316,0.928694
99.000000,0.008836,1.225530,0.918800
100.000000,0.008925,1.239821,0.929893
101.000000,0.009015,1.228687,0.926581
102.000000,0.009104,1.224635,0.919424
103.000000,0.009193,1.220212,0.913094
104.000000,0.009282,1.231185,0.927793
105.000000,0.009372,1.228747,0.927363
106.000000,0.009461,1.220898,0.917477
107.000000,0.009550,1.232603,0.928424
108.000000,0.009639,1.225451,0.925287
109.000000,0.009729,1.229826,0.928579
110.000000,0.009818,1.228255,0.926265
111.000000,0.009907,1.231338,0.927712
112.000000,0.009996,1.233888,0.934721
113.000000,0.010086,1.217888,0.921979
114.000000,0.010175,1.228870,0.928015
115.000000,0.010264,1.225182,0.925574
116.000000,0.010353,1.223434,0.929943
117.000000,0.010443,1.220543,0.922552
118.000000,0.010532,1.225015,0.931733
119.000000,0.010621,1.231199,0.933354
120.000000,0.010710,1.218916,0.926465
121.000000,0.010800,1.213720,0.919815
122.000000,0.010889,1.222222,0.930201
123.000000,0.010978,1.226344,0.931230
124.000000,0.011067,1.226050,0.929629
125.000000,0.011157,1.230367,0.934273
126.000000,0.011246,1.223708,0.930782
127.000000,0.011335,1.223421,0.933742
128.000000,0.011424,1.217577,0.927776
129.000000,0.011514,1.217112,0.928350
130.000000,0.011603,1.217286,0.929963
131.000000,0.011692,1.219703,0.928133
132.000000,0.011782,1.223566,0.937703
133.000000,0.011871,1.215274,0.929222
134.000000,0.011960,1.218683,0.932812
135.000000,0.012049,1.222325,0.934849
136.000000,0.012139,1.219525,0.932010
137.000000,0.012228,1.220250,0.937513
138.000000,0.012317,1.225507,0.933941
139.000000,0.012406,1.220747,0.932235
140.000000,0.012496,1.213367,0.930122
141.000000,0.012585,1.203218,0.919844
142.000000,0.012674,1.217187,0.931689
143.000000,0.012763,1.209983,0.930939
144.000000,0.012853,1.210689,0.928920
145.000000,0.012942,1.216844,0.930018
146.000000,0.013031,1.226134,0.937316
147.000000,0.013120,1.203898,0.927426
148.000000,0.013210,1.210652,0.927100
149.000000,0.013299,1.216032,0.935756
150.000000,0.013388,1.218206,0.937003
151.000000,0.013477,1.210197,0.925597
152.000000,0.013567,1.212510,0.930637
153.000000,0.013656,1.212818,0.932357
154.000000,0.013745,1.210208,0.928782
155.000000,0.013834,1.211134,0.932482
156.000000,0.013924,1.207362,0.931657
157.000000,0.014013,1.212656,0.932966
158.000000,0.014102,1.208556,0.929383
159.000000,0.014191,1.211546,0.931325
160.000000,0.014281,1.222770,0.939738
161.000000,0.014370,1.216660,0.937508
162.000000,0.014459,1.213065,0.937350
163.000000,0.014548,1.205845,0.932930
164.000000,0.014638,1.210050,0.933509
165.000000,0.014727,1.208489,0.934029
166.000000,0.014816,1.205336,0.932436
167.000000,0.014905,1.209774,0.935201
168.000000,0.014995,1.211411,0.933668
169.000000,0.015084,1.206706,0.935618
170.000000,0.015173,1.207143,0.928473
171.000000,0.015262,1.207490,0.934300
172.000000,0.015352,1.203774,0.931586
173.000000,0.015441,1.207793,0.937304
174.000000,0.015530,1.210203,0.932604
175.000000,0.015619,1.208561,0.939542
176.000000,0.015709,1.200372,0.932796
177.000000,0.015798,1.199867,0.930764
178.000000,0.015887,1.204188,0.933384
179.000000,0.015976,1.193852,0.928844
180.000000,0.016066,1.208366,0.938894
181.000000,0.016155,1.205194,0.936449
182.000000,0.016244,1.203437,0.934269
183.000000,0.016333,1.203118,0.933952
184.000000,0.016423,1.205346,0.939347
185.000000,0.016512,1.193614,0.929192
186.000000,0.016601,1.204613,0.937920
187.000000,0.016690,1.198656,0.936106
188.000000,0.016780,1.198495,0.934569
189.000000,0.016869,1.202800,0.939648
190.000000,0.016958,1.196973,0.932598
191.000000,0.017047,1.195639,0.932861
192.000000,0.017137,1.193844,0.929963
193.000000,0.017226,1.191844,0.929479
194.000000,0.017315,1.193785,0.927663
