iteration,epoch,loss,accuracy
1.000000,0.000045,1.451446,0.297407
2.000000,0.000089,1.141857,0.186413
3.000000,0.000134,0.514631,0.011067
4.000000,0.000178,0.463564,0.012560
5.000000,0.000223,0.663194,0.000000
6.000000,0.000268,0.456768,0.002299
7.000000,0.000312,0.435051,0.004798
8.000000,0.000357,0.451235,0.002988
9.000000,0.000402,0.409211,0.004876
10.000000,0.000446,0.406660,0.004022
11.000000,0.000491,0.407296,0.003480
12.000000,0.000535,0.371477,0.004489
13.000000,0.000580,0.360071,0.006537
14.000000,0.000625,0.385155,0.007319
15.000000,0.000669,0.371723,0.007344
16.000000,0.000714,0.361453,0.010964
17.000000,0.000759,0.331510,0.011766
18.000000,0.000803,0.317390,0.007660
19.000000,0.000848,0.356736,0.004840
20.000000,0.000892,0.334975,0.013168
21.000000,0.000937,0.337402,0.019114
22.000000,0.000982,0.298192,0.008112
23.000000,0.001026,0.335320,0.006766
24.000000,0.001071,0.310645,0.007054
25.000000,0.001116,0.313639,0.016578
26.000000,0.001160,0.300359,0.013930
27.000000,0.001205,0.288590,0.010414
28.000000,0.001249,0.293750,0.006869
29.000000,0.001294,0.265938,0.007283
30.000000,0.001339,0.281945,0.012184
31.000000,0.001383,0.275094,0.008777
32.000000,0.001428,0.274901,0.008008
33.000000,0.001473,0.269457,0.007426
34.000000,0.001517,0.253247,0.007105
35.000000,0.001562,0.269431,0.009497
36.000000,0.001606,0.258490,0.009458
37.000000,0.001651,0.268297,0.009059
38.000000,0.001696,0.274279,0.009000
39.000000,0.001740,0.241435,0.008497
40.000000,0.001785,0.270592,0.008298
41.000000,0.001830,0.235504,0.010303
42.000000,0.001874,0.245904,0.019392
43.000000,0.001919,0.236989,0.013527
44.000000,0.001963,0.246925,0.007648
45.000000,0.002008,0.227418,0.010240
46.000000,0.002053,0.257836,0.012425
47.000000,0.002097,0.232183,0.016452
48.000000,0.002142,0.230200,0.013454
49.000000,0.002187,0.219987,0.016262
50.000000,0.002231,0.237658,0.053580
51.000000,0.002276,0.228695,0.016473
52.000000,0.002320,0.238379,0.015224
53.000000,0.002365,0.233763,0.021873
54.000000,0.002410,0.258296,0.011804
55.000000,0.002454,0.230002,0.015158
56.000000,0.002499,0.218113,0.044962
57.000000,0.002544,0.250711,0.021329
58.000000,0.002588,0.215408,0.024514
59.000000,0.002633,0.206414,0.022735
60.000000,0.002677,0.215441,0.027275
61.000000,0.002722,0.205621,0.021140
62.000000,0.002767,0.238063,0.030635
63.000000,0.002811,0.229186,0.054361
64.000000,0.002856,0.228774,0.042437
65.000000,0.002901,0.220464,0.032657
66.000000,0.002945,0.226513,0.035640
67.000000,0.002990,0.205709,0.059882
68.000000,0.003034,0.216156,0.034827
69.000000,0.003079,0.223460,0.042106
70.000000,0.003124,0.220889,0.106659
71.000000,0.003168,0.219708,0.066957
72.000000,0.003213,0.238495,0.024702
73.000000,0.003258,0.239178,0.120766
74.000000,0.003302,0.225189,0.081301
75.000000,0.003347,0.212215,0.025677
76.000000,0.003391,0.249987,0.028457
77.000000,0.003436,0.230819,0.089462
78.000000,0.003481,0.208399,0.083509
79.000000,0.003525,0.210109,0.046295
