iteration,epoch,loss,accuracy
1.000000,0.000089,1.516179,0.172956
2.000000,0.000179,1.514655,0.177303
3.000000,0.000268,1.513564,0.187803
4.000000,0.000357,1.513574,0.189165
5.000000,0.000446,1.512916,0.187732
6.000000,0.000536,1.510924,0.201739
7.000000,0.000625,1.511023,0.212338
8.000000,0.000714,1.509730,0.215016
9.000000,0.000803,1.510331,0.198025
10.000000,0.000893,1.510012,0.197230
11.000000,0.000982,1.511405,0.192068
12.000000,0.001071,1.509915,0.193220
13.000000,0.001160,1.506884,0.210401
14.000000,0.001250,1.509345,0.198382
15.000000,0.001339,1.509457,0.177324
16.000000,0.001428,1.508863,0.193694
17.000000,0.001517,1.508842,0.192727
18.000000,0.001607,1.507558,0.200134
19.000000,0.001696,1.505591,0.225665
20.000000,0.001785,1.506888,0.219258
21.000000,0.001874,1.506636,0.195380
22.000000,0.001964,1.504482,0.219235
23.000000,0.002053,1.505431,0.208521
24.000000,0.002142,1.505194,0.212511
25.000000,0.002231,1.503984,0.219192
26.000000,0.002321,1.504872,0.209228
27.000000,0.002410,1.505601,0.203193
28.000000,0.002499,1.505539,0.195086
29.000000,0.002588,1.504667,0.206485
30.000000,0.002678,1.500702,0.224469
31.000000,0.002767,1.502402,0.213679
32.000000,0.002856,1.501601,0.223295
33.000000,0.002945,1.501506,0.218527
34.000000,0.003035,1.501672,0.223918
35.000000,0.003124,1.501065,0.212845
36.000000,0.003213,1.500572,0.225673
37.000000,0.003302,1.502589,0.215207
38.000000,0.003392,1.503929,0.215554
39.000000,0.003481,1.499315,0.228827
40.000000,0.003570,1.499459,0.225837
41.000000,0.003659,1.498408,0.221285
42.000000,0.003749,1.499310,0.226835
43.000000,0.003838,1.497797,0.231030
44.000000,0.003927,1.497954,0.231534
45.000000,0.004016,1.498289,0.224267
46.000000,0.004106,1.497948,0.226673
47.000000,0.004195,1.496760,0.247455
48.000000,0.004284,1.497988,0.227703
49.000000,0.004373,1.496440,0.235223
50.000000,0.004463,1.494707,0.256236
51.000000,0.004552,1.495369,0.260569
52.000000,0.004641,1.496541,0.219994
53.000000,0.004730,1.497791,0.219183
54.000000,0.004820,1.496873,0.256841
55.000000,0.004909,1.497976,0.228775
56.000000,0.004998,1.491561,0.245710
57.000000,0.005087,1.493506,0.250733
58.000000,0.005177,1.493755,0.213436
59.000000,0.005266,1.495110,0.239305
60.000000,0.005355,1.495631,0.220746
61.000000,0.005444,1.490665,0.268438
62.000000,0.005534,1.493992,0.256660
63.000000,0.005623,1.494530,0.237286
64.000000,0.005712,1.491005,0.273828
65.000000,0.005801,1.493631,0.234336
66.000000,0.005891,1.494227,0.245720
67.000000,0.005980,1.492517,0.238979
68.000000,0.006069,1.493068,0.260448
69.000000,0.006159,1.490304,0.278130
70.000000,0.006248,1.490738,0.260985
71.000000,0.006337,1.489155,0.272707
72.000000,0.006426,1.491324,0.242979
73.000000,0.006516,1.491786,0.243531
74.000000,0.006605,1.491831,0.248233
75.000000,0.006694,1.490715,0.242394
76.000000,0.006783,1.487636,0.260903
77.000000,0.006873,1.489166,0.257139
78.000000,0.006962,1.489859,0.239063
79.000000,0.007051,1.490321,0.233464
80.000000,0.007140,1.487105,0.300181
81.000000,0.007230,1.488406,0.256377
82.000000,0.007319,1.488792,0.265793
83.000000,0.007408,1.486371,0.250751
84.000000,0.007497,1.486275,0.261885
85.000000,0.007587,1.487519,0.260036
86.000000,0.007676,1.485513,0.289029
87.000000,0.007765,1.487962,0.266365
88.000000,0.007854,1.487781,0.274918
89.000000,0.007944,1.487872,0.271513
90.000000,0.008033,1.484453,0.286461
91.000000,0.008122,1.486188,0.264282
92.000000,0.008211,1.487285,0.259661
93.000000,0.008301,1.487095,0.275791
94.000000,0.008390,1.482897,0.280933
95.000000,0.008479,1.484168,0.284949
96.000000,0.008568,1.484773,0.271550
97.000000,0.008658,1.485639,0.285567
98.000000,0.008747,1.480598,0.297249
99.000000,0.008836,1.484576,0.267918
100.000000,0.008925,1.480200,0.308870
101.000000,0.009015,1.483471,0.275325
102.000000,0.009104,1.483680,0.282218
103.000000,0.009193,1.481003,0.277971
104.000000,0.009282,1.485253,0.270017
105.000000,0.009372,1.482963,0.274948
106.000000,0.009461,1.480567,0.295748
107.000000,0.009550,1.482760,0.280173
108.000000,0.009639,1.482315,0.276301
